Article Number,Total Words (m),Frequency (f),f/m
Article #135,93,0,0.0
Article #136,22,0,0.0
Article #137,65,0,0.0
Article #138,40,0,0.0
Article #139,93,0,0.0
Article #140,50,0,0.0
Article #141,70,0,0.0
Article #142,88,0,0.0
Article #143,91,0,0.0
Article #144,97,1,0.010309278350515464
Article #145,92,0,0.0
Article #146,100,0,0.0
Article #147,85,0,0.0
Article #148,109,0,0.0
Article #149,88,0,0.0
Article #150,75,0,0.0
Article #151,76,0,0.0
Article #152,93,0,0.0
Article #153,76,0,0.0
Article #154,78,0,0.0
Article #155,66,0,0.0
Article #156,92,0,0.0
Article #157,78,0,0.0
Article #158,88,0,0.0
Article #159,65,0,0.0
Article #160,89,0,0.0
Article #161,63,0,0.0
Article #162,88,0,0.0
Article #163,102,0,0.0
Article #164,96,0,0.0
Article #165,65,0,0.0
Article #166,42,0,0.0
Article #167,100,0,0.0
Article #168,93,0,0.0
Article #169,66,0,0.0
Article #170,70,0,0.0
Article #171,72,0,0.0
Article #172,73,0,0.0
Article #173,78,0,0.0
Article #174,95,0,0.0
Article #175,86,0,0.0
Article #176,99,0,0.0
Article #177,94,0,0.0
Article #178,100,0,0.0
Article #179,85,0,0.0
Article #180,93,0,0.0
Article #181,76,0,0.0
Article #182,71,0,0.0
Article #183,75,0,0.0
Article #184,68,0,0.0
Article #185,82,0,0.0
Article #186,76,0,0.0
Article #187,73,0,0.0
Article #188,80,0,0.0
Article #189,88,0,0.0
Article #190,83,0,0.0
Article #191,80,0,0.0
Article #192,76,0,0.0
Article #193,74,0,0.0
Article #194,66,0,0.0
Article #195,73,0,0.0
Article #196,73,0,0.0
Article #197,73,0,0.0
Article #198,81,0,0.0
Article #199,65,0,0.0
Article #200,104,0,0.0
Article #201,88,0,0.0
Article #202,70,0,0.0
Article #203,98,0,0.0
Article #204,93,1,0.010752688172043012
Article #205,101,0,0.0
Article #206,96,0,0.0
Article #207,100,0,0.0
Article #208,88,0,0.0
Article #209,89,0,0.0
Article #210,96,0,0.0
Article #211,88,0,0.0
Article #212,79,0,0.0
Article #213,88,0,0.0
Article #214,72,3,0.041666666666666664
Article #215,72,0,0.0
Article #216,91,0,0.0
Article #217,100,2,0.02
Article #218,80,1,0.0125
Article #219,86,0,0.0
Article #220,83,0,0.0
Article #221,53,0,0.0
Article #222,88,3,0.03409090909090909
Article #223,105,0,0.0
Article #224,78,0,0.0
Article #225,90,0,0.0
Article #226,57,0,0.0
Article #227,84,0,0.0
Article #228,61,0,0.0
Article #229,67,0,0.0
Article #230,85,0,0.0
Article #231,86,0,0.0
Article #232,76,0,0.0
Article #233,96,0,0.0
Article #234,74,0,0.0
Article #235,75,0,0.0
Article #236,89,0,0.0
Article #237,83,2,0.024096385542168676
Article #238,72,0,0.0
Article #239,62,0,0.0
Article #240,65,0,0.0
Article #241,70,0,0.0
Article #242,89,2,0.02247191011235955
Article #243,70,0,0.0
Article #244,82,0,0.0
Article #245,86,0,0.0
Article #246,74,0,0.0
Article #247,109,0,0.0
Article #248,84,0,0.0
Article #249,102,0,0.0
Article #250,91,0,0.0
Article #251,82,0,0.0
Article #252,73,0,0.0
Article #253,95,0,0.0
Article #254,87,0,0.0
Article #255,94,2,0.02127659574468085
Article #256,82,0,0.0
Article #257,86,0,0.0
Article #258,76,3,0.039473684210526314
Article #259,82,0,0.0
Article #260,110,0,0.0
Article #261,72,0,0.0
Article #262,74,2,0.02702702702702703
Article #263,73,0,0.0
Article #264,74,0,0.0
Article #265,77,0,0.0
Article #266,75,0,0.0
Article #267,109,0,0.0
Article #268,91,0,0.0
Article #269,84,0,0.0
Article #270,88,3,0.03409090909090909
Article #271,89,0,0.0
Article #272,89,4,0.0449438202247191
Article #273,74,2,0.02702702702702703
Article #274,92,0,0.0
Article #275,96,0,0.0
Article #276,99,0,0.0
Article #277,82,0,0.0
Article #278,85,0,0.0
Article #279,93,0,0.0
Article #280,75,0,0.0
Article #281,72,0,0.0
Article #282,73,1,0.0136986301369863
Article #283,79,0,0.0
Article #284,69,2,0.028985507246376812
Article #285,95,0,0.0
Article #286,82,3,0.036585365853658534
Article #287,98,0,0.0
Article #288,93,0,0.0
Article #289,97,3,0.030927835051546393
Article #290,64,1,0.015625
Article #291,88,1,0.011363636363636364
Article #292,85,0,0.0
Article #293,68,0,0.0
Article #294,77,3,0.03896103896103896
Article #295,82,0,0.0
Article #296,78,0,0.0
Article #297,84,3,0.03571428571428571
Article #298,72,2,0.027777777777777776
Article #299,77,0,0.0
Article #300,86,0,0.0
Article #301,93,0,0.0
Article #302,103,0,0.0
Article #303,93,0,0.0
Article #304,101,0,0.0
Article #305,95,0,0.0
Article #306,90,4,0.044444444444444446
Article #307,99,0,0.0
Article #308,101,1,0.009900990099009901
Article #309,88,0,0.0
Article #310,93,0,0.0
Article #311,98,0,0.0
Article #312,98,0,0.0
Article #313,93,1,0.010752688172043012
Article #314,94,0,0.0
Article #315,102,0,0.0
Article #316,102,0,0.0
Article #317,71,0,0.0
Article #318,102,0,0.0
Article #319,86,0,0.0
Article #320,97,1,0.010309278350515464
Article #321,72,0,0.0
Article #322,88,0,0.0
Article #323,83,0,0.0
Article #324,98,0,0.0
Article #325,76,0,0.0
Article #326,80,0,0.0
Article #327,82,3,0.036585365853658534
Article #328,115,0,0.0
Article #329,101,0,0.0
Article #330,96,0,0.0
Article #331,52,0,0.0
Article #332,71,0,0.0
Article #333,74,0,0.0
Article #334,84,0,0.0
Article #335,103,0,0.0
Article #336,73,3,0.0410958904109589
Article #337,81,0,0.0
Article #338,96,2,0.020833333333333332
Article #339,75,0,0.0
Article #340,44,0,0.0
Article #341,105,0,0.0
Article #342,68,0,0.0
Article #343,74,0,0.0
Article #344,72,0,0.0
Article #345,79,0,0.0
Article #346,65,0,0.0
Article #347,91,0,0.0
Article #348,80,0,0.0
Article #349,66,1,0.015151515151515152
Article #350,72,0,0.0
Article #351,101,0,0.0
Article #352,85,0,0.0
Article #353,85,1,0.011764705882352941
Article #354,53,0,0.0
Article #355,82,0,0.0
Article #356,79,0,0.0
Article #357,78,0,0.0
Article #358,91,2,0.02197802197802198
Article #359,91,0,0.0
Article #360,61,0,0.0
Article #361,88,0,0.0
Article #362,98,0,0.0
Article #363,96,0,0.0
Article #364,66,1,0.015151515151515152
Article #365,105,0,0.0
Article #366,94,0,0.0
Article #367,97,0,0.0
Article #368,67,0,0.0
Article #369,84,0,0.0
Article #370,105,0,0.0
Article #371,64,1,0.015625
Article #372,88,0,0.0
Article #373,99,2,0.020202020202020204
Article #374,97,0,0.0
Article #375,118,0,0.0
Article #376,66,0,0.0
Article #377,101,0,0.0
Article #378,81,0,0.0
Article #379,83,0,0.0
Article #380,96,4,0.041666666666666664
Article #381,94,0,0.0
Article #382,112,1,0.008928571428571428
Article #383,55,0,0.0
Article #384,68,0,0.0
Article #385,68,0,0.0
Article #386,70,0,0.0
Article #387,94,4,0.0425531914893617
Article #388,65,0,0.0
Article #389,96,0,0.0
Article #390,90,1,0.011111111111111112
Article #391,89,0,0.0
Article #392,95,0,0.0
Article #393,89,0,0.0
Article #394,99,0,0.0
Article #395,82,0,0.0
Article #396,103,0,0.0
Article #397,100,0,0.0
Article #398,92,0,0.0
Article #399,90,0,0.0
Article #400,107,0,0.0
Article #401,100,1,0.01
Article #402,99,1,0.010101010101010102
Article #403,83,1,0.012048192771084338
Article #404,92,3,0.03260869565217391
Article #405,94,4,0.0425531914893617
Article #406,83,2,0.024096385542168676
Article #407,111,1,0.009009009009009009
Article #408,104,1,0.009615384615384616
Article #409,95,0,0.0
Article #410,99,2,0.020202020202020204
Article #411,93,1,0.010752688172043012
Article #412,99,1,0.010101010101010102
Article #413,79,1,0.012658227848101266
Article #414,94,1,0.010638297872340425
Article #415,90,0,0.0
Article #416,96,0,0.0
Article #417,104,1,0.009615384615384616
Article #418,86,1,0.011627906976744186
Article #419,92,0,0.0
Article #420,81,0,0.0
Article #421,91,1,0.01098901098901099
Article #422,105,1,0.009523809523809525
Article #423,104,1,0.009615384615384616
Article #424,98,0,0.0
Article #425,81,0,0.0
Article #426,79,0,0.0
Article #427,104,0,0.0
Article #428,87,0,0.0
Article #429,116,0,0.0
Article #430,109,0,0.0
Article #431,121,3,0.024793388429752067
Article #432,98,0,0.0
Article #433,67,0,0.0
Article #434,75,0,0.0
Article #435,95,0,0.0
Article #436,94,2,0.02127659574468085
Article #437,97,0,0.0
Article #438,100,1,0.01
Article #439,96,2,0.020833333333333332
Article #440,115,1,0.008695652173913044
Article #441,99,0,0.0
Article #442,87,0,0.0
Article #443,75,0,0.0
Article #444,73,3,0.0410958904109589
Article #445,83,0,0.0
Article #446,103,0,0.0
Article #447,91,0,0.0
Article #448,67,0,0.0
Article #449,91,0,0.0
Article #450,70,0,0.0
Article #451,73,1,0.0136986301369863
Article #452,79,1,0.012658227848101266
Article #453,83,2,0.024096385542168676
Article #454,61,0,0.0
Article #455,90,2,0.022222222222222223
Article #456,98,0,0.0
Article #457,99,2,0.020202020202020204
Article #458,55,2,0.03636363636363636
Article #459,99,0,0.0
Article #460,102,1,0.00980392156862745
Article #461,64,0,0.0
Article #462,64,0,0.0
Article #463,67,1,0.014925373134328358
Article #464,87,0,0.0
Article #465,94,0,0.0
Article #466,80,1,0.0125
Article #467,79,2,0.02531645569620253
Article #468,69,0,0.0
Article #469,101,0,0.0
Article #470,69,0,0.0
Article #471,69,0,0.0
Article #472,73,0,0.0
Article #473,82,0,0.0
Article #474,65,0,0.0
Article #475,92,1,0.010869565217391304
Article #476,103,1,0.009708737864077669
Article #477,85,2,0.023529411764705882
Article #478,98,1,0.01020408163265306
Article #479,65,0,0.0
Article #480,69,1,0.014492753623188406
Article #481,97,1,0.010309278350515464
Article #482,69,0,0.0
Article #483,94,1,0.010638297872340425
Article #484,80,1,0.0125
Article #485,75,0,0.0
Article #486,68,0,0.0
Article #487,79,2,0.02531645569620253
Article #488,102,0,0.0
Article #489,82,2,0.024390243902439025
Article #490,92,0,0.0
Article #491,91,0,0.0
Article #492,93,2,0.021505376344086023
Article #493,93,3,0.03225806451612903
Article #494,73,0,0.0
Article #495,70,3,0.04285714285714286
Article #496,99,2,0.020202020202020204
Article #497,66,0,0.0
Article #498,92,4,0.043478260869565216
Article #499,67,1,0.014925373134328358
Article #500,83,0,0.0
Article #501,95,1,0.010526315789473684
Article #502,93,0,0.0
Article #503,96,0,0.0
Article #504,96,2,0.020833333333333332
Article #505,64,0,0.0
Article #506,69,0,0.0
Article #507,65,0,0.0
Article #508,90,1,0.011111111111111112
Article #509,81,0,0.0
Article #510,74,0,0.0
Article #511,96,4,0.041666666666666664
Article #512,52,0,0.0
Article #513,92,0,0.0
Article #514,63,0,0.0
Article #515,99,0,0.0
Article #516,90,0,0.0
Article #517,97,0,0.0
Article #518,54,2,0.037037037037037035
Article #519,75,0,0.0
Article #520,68,0,0.0
Article #521,78,0,0.0
Article #522,64,0,0.0
Article #523,68,1,0.014705882352941176
Article #524,82,0,0.0
Article #525,76,0,0.0
Article #526,78,1,0.01282051282051282
Article #527,83,1,0.012048192771084338
Article #528,77,1,0.012987012987012988
Article #529,73,0,0.0
Article #530,77,0,0.0
Article #531,77,0,0.0
Article #532,77,0,0.0
Article #533,75,0,0.0
Article #534,76,4,0.05263157894736842
Article #535,86,0,0.0
Article #536,92,0,0.0
Article #537,90,0,0.0
Article #538,95,0,0.0
Article #539,84,0,0.0
Article #540,78,0,0.0
Article #541,87,0,0.0
Article #542,68,0,0.0
Article #543,96,0,0.0
Article #544,67,0,0.0
Article #545,77,0,0.0
Article #546,70,0,0.0
Article #547,94,0,0.0
Article #548,91,0,0.0
Article #549,98,0,0.0
Article #550,73,0,0.0
Article #551,81,0,0.0
Article #552,81,0,0.0
Article #553,76,0,0.0
Article #554,76,0,0.0
Article #555,69,0,0.0
Article #556,79,0,0.0
Article #557,78,0,0.0
Article #558,91,0,0.0
Article #559,92,0,0.0
Article #560,54,0,0.0
Article #561,97,0,0.0
Article #562,71,4,0.056338028169014086
Article #563,84,0,0.0
Article #564,64,0,0.0
Article #565,94,0,0.0
Article #566,89,0,0.0
Article #567,78,0,0.0
Article #568,66,0,0.0
Article #569,81,0,0.0
Article #570,77,0,0.0
Article #571,96,0,0.0
Article #572,82,0,0.0
Article #573,91,1,0.01098901098901099
Article #574,83,2,0.024096385542168676
Article #575,85,0,0.0
Article #576,67,0,0.0
Article #577,88,4,0.045454545454545456
Article #578,90,0,0.0
Article #579,91,0,0.0
Article #580,75,0,0.0
Article #581,83,0,0.0
Article #582,84,0,0.0
Article #583,67,0,0.0
Article #584,69,0,0.0
Article #585,68,0,0.0
Article #586,84,0,0.0
Article #587,71,0,0.0
Article #588,75,0,0.0
Article #589,71,0,0.0
Article #590,72,2,0.027777777777777776
Article #591,75,0,0.0
Article #592,89,0,0.0
Article #593,80,0,0.0
Article #594,84,0,0.0
Article #595,81,0,0.0
Article #596,82,0,0.0
Article #597,93,0,0.0
Article #598,74,0,0.0
Article #599,74,0,0.0
Article #600,66,0,0.0
Article #601,72,0,0.0
Article #602,99,0,0.0
Article #603,95,0,0.0
Article #604,99,0,0.0
Article #605,92,0,0.0
Article #606,93,0,0.0
Article #607,103,0,0.0
Article #608,104,0,0.0
Article #609,96,0,0.0
Article #610,97,1,0.010309278350515464
Article #611,91,0,0.0
Article #612,96,2,0.020833333333333332
Article #613,96,0,0.0
Article #614,101,0,0.0
Article #615,51,0,0.0
Article #616,96,0,0.0
Article #617,90,0,0.0
Article #618,103,0,0.0
Article #619,96,2,0.020833333333333332
Article #620,98,0,0.0
Article #621,88,0,0.0
Article #622,72,0,0.0
Article #623,89,0,0.0
Article #624,95,0,0.0
Article #625,110,0,0.0
Article #626,102,0,0.0
Article #627,89,0,0.0
Article #628,91,0,0.0
Article #629,83,0,0.0
Article #630,52,1,0.019230769230769232
Article #631,83,0,0.0
Article #632,74,0,0.0
Article #633,92,1,0.010869565217391304
Article #634,94,3,0.031914893617021274
Article #635,87,0,0.0
Article #636,95,0,0.0
Article #637,94,0,0.0
Article #638,110,0,0.0
Article #639,102,3,0.029411764705882353
Article #640,92,0,0.0
Article #641,103,0,0.0
Article #642,94,0,0.0
Article #643,98,0,0.0
Article #644,91,0,0.0
Article #645,100,0,0.0
Article #646,53,0,0.0
Article #647,96,0,0.0
Article #648,59,3,0.05084745762711865
Article #649,64,0,0.0
Article #650,86,1,0.011627906976744186
Article #651,100,0,0.0
Article #652,57,0,0.0
Article #653,104,0,0.0
Article #654,98,0,0.0
Article #655,94,2,0.02127659574468085
Article #656,95,0,0.0
Article #657,99,1,0.010101010101010102
Article #658,101,0,0.0
Article #659,88,0,0.0
Article #660,94,0,0.0
Article #661,94,0,0.0
Article #662,97,3,0.030927835051546393
Article #663,92,0,0.0
Article #664,98,0,0.0
Article #665,97,1,0.010309278350515464
Article #666,106,0,0.0
Article #667,94,0,0.0
Article #668,99,0,0.0
Article #669,106,0,0.0
Article #670,96,2,0.020833333333333332
Article #671,91,1,0.01098901098901099
Article #672,93,0,0.0
Article #673,92,2,0.021739130434782608
Article #674,90,0,0.0
Article #675,99,3,0.030303030303030304
Article #676,103,0,0.0
Article #677,93,3,0.03225806451612903
Article #678,98,0,0.0
Article #679,94,0,0.0
Article #680,96,0,0.0
Article #681,97,0,0.0
Article #682,102,0,0.0
Article #683,104,0,0.0
Article #684,109,0,0.0
Article #685,95,0,0.0
Article #686,98,0,0.0
Article #687,98,5,0.05102040816326531
Article #688,103,1,0.009708737864077669
Article #689,92,0,0.0
Article #690,100,0,0.0
Article #691,98,0,0.0
Article #692,75,0,0.0
Article #693,95,6,0.06315789473684211
Article #694,92,1,0.010869565217391304
Article #695,97,0,0.0
Article #696,92,0,0.0
Article #697,55,1,0.01818181818181818
Article #698,90,0,0.0
Article #699,100,6,0.06
Article #700,89,0,0.0
