Message,Positive_Match,Negative_Match,Polarity,Keywords,Tweet_Number
RT segalink Im backing the nmanigeria on this The FG should not disgrace us even further with this demonstration of utter stupidity by,None,disgrace,negative,None,39
RT MerlinofCanada Has everyone noticed that AndrewScheer stephenharper PierrePoilievre jkenney have not condemned DonaldTrump for tr,None,condemned,negative,None,40
A modest but encouraging trend may be emerging in two countries hard hit by coronavirus Spain has 270 deaths per million population Italy has 263 Canada 7 but rising slowly,encouraging,slowly,neutral,['canada'],41
RT JacinthePayant KateLaterally I bet although people dont usually change their spots I believe he liked trump right until his dear fr,liked,None,positive,None,42
RT deAdder New York Times Thank God for Canada,thank,None,positive,['canada'],43
Taibah UniversityCollege of Applied medical science YanbuDone by somayah abdulaziz Supervisor Elmasri dryosrelmasri Communication skills course,None,None,neutral,None,44
RT BBCWorld New Yorks healthcare workers are on the frontline of the war against coronavirus in the USElmhurst hospital in Queens has b,None,None,neutral,None,45
RT DemonesSlay mitchellvii This professor EXPOSES THE ENTIRE HOAXProf Knut Wittkowski once head of The Rockefeller Universitys Depar,None,None,neutral,None,46
RT CHMMcMahon This is a model done by Upstate Medical University on potential Positive Covid 19 cases for OnondagaCounty Do we want t,positive,None,positive,['university'],47
What do organized criminals use as their Hitmenkillers in Canadaits because they only get deported thats it Pierre and his son Justin have destroyed me,None,None,neutral,None,48
RT Finance101mag These are the worst colleges in the USABetter watch out for theseUniversity,None,worst,negative,None,49
RT JohnBWellsCTM Why did a Chinese university hire Charles Lieber to do battery researchHe coauthored 412 research papers 65 awarded,awarded,None,positive,['university'],50
ayitsrae Hey there If your university or college isnt listed unfortunately youre not eligible for the student discount at this time Sorry for any confusion but were here for anything else KR,None,sorry,negative,['university'],51
RT blaiklockBP Deep State Coronavirus Jeffrey Epstein amp Harvard UniversityVery strange coincidences,None,strange,negative,None,52
RT MCommunicado Thank God for Canada,thank,None,positive,['canada'],53
likened ASUUs opposition to the scheme as Voice of Jacob and hand of Esau insisted that university lecturers were mere frontrunners for the vicechancellors who it said wanted to thwart the implementation of the scheme in the university to cover up their agelong,None,thwart,negative,['university'],54
RT nickmangwana The University of Zimbabwe has produced 50 000 theatre caps and 20 000 overshoe covers All these and their sanitisers ar,None,None,neutral,['university'],55
twitter university atp,None,None,neutral,['university'],56
RT yshfae GIDLE Oh My God MV Teaser1 Trending Music Video Worldwide with 22 countriesTrending at3 Argentina3 Paraguay4,None,None,neutral,None,57
gillgodwin In Trudeau we trust Canada,trust,None,positive,['canada'],58
RT QuickTake DIY ventilators could be a worst case coronavirus scenario but these engineers at the University of Florida UF have devel,None,worst,negative,['university'],59
RT TheBradSherwood A bright spot in coronavirus news Canadas Nunavut has none of itstaysafe stayhome smile,smile,None,positive,None,60
Trugroper better find some excuse first because so many Cas are out of a job and he didnt even move a finger to start producing what Canada needs How difficult is it to make masks of any kind A 13 year old produced thousands with a 3D printer He would be a better PM,better,difficult,neutral,['canada'],61
So can Canada annex northern New Hampshire yet weve more in common with Quebec than we do anything south of the notch,None,None,neutral,['canada'],62
RT RNJB7 Long overdue Michael Atkinson Trump fires intelligence chief involved in impeachment,trump,overdue,positive,None,63
signed copy of my new book can be ordered via bookculture my local independent bookstore also order other books by me and I will sign them too Please support small business during tough times Ship to US Canada UK Ireland,support,None,positive,['canada'],64
RV park residents in Surrey win tenancy battle,win,None,positive,None,65
RT BardiUpdatess Two years ago today Cardi released Drip as a promotional single for her debut album The song peaked at 21 in the US,None,None,neutral,None,66
I have 2 good friends stuck in Algeria They just want to get in the third plane Canada has supplied It breaks my heart,good,breaks,negative,['canada'],67
RT molodyko Two things 1 Canadas Deputy Prime Minister cafreeland a bonafide Nazi is now acting Prime Minister of Canada while Just,None,None,neutral,['canada'],68
RT brithume The closely watched University of Washington model has another bad day,None,bad,negative,['university'],69
MichelleRempel Yeah Ok LOL,None,None,neutral,None,70
IWF nwlc usedgov Title IX claims are processed as legal claims by university legal representation Weighed against HR policy and institutional risk management This isnt close to due process,None,risk,negative,['university'],71
RT Salvesayson I speak to everyone in the same way whether he is the garbage man or the president of the university ALDUBxADNReflectio,None,garbage,negative,['university'],72
rsadlermsc Laurelith leefmullin BBCPolitics BBCNews Not the opposite if you look at Canada or Hong Kong or other countries that took action instantly,instantly,None,positive,['canada'],73
So Trump has stopped US manufacturers sending face masks to Iran Venezuela Cuba and Canada,trump,None,positive,['canada'],74
RT autodesku Albert Manero and the Limbitless3D team are using Fusion 360 Maya and 3D printing to create bionic prosthetics for childr,None,None,neutral,None,75
RT Zahrawi University of alQarawiyyin located in Fez Morocco is oldest existing continually operating higher educational institution,None,None,neutral,['university'],76
RT carlydermott Thank God For Canada is trending right now Send me a photo you took of a place youve visited Scenery cityscape golf,right,None,positive,['canada'],77
From John Hopkins University Hold the Quarantinis Alcohol and Novel Coronavirus Might Not Mix Global Health NOW,None,None,neutral,['university'],78
TrueBlueLine BlueWalkPoconos polizISTmensch DCARVSgt bigricanman Skell in Canada uses car to try to kill security guard enforcing social distancing rules,None,kill,negative,['canada'],79
RT JustinLing Read this Ill comment on how absurd this is once I calm down a bit,calm,absurd,neutral,None,80
RT DanielVSPxP Used his redshirt at the University of Iowa this past season Now he is back in Sioux City as a Mustang The womens and m,None,None,neutral,['university'],81
RT kimcreynolds1 tylerwhat16 The world needs a lot more Dr Tams and Im going to say it no Michelle Rempels I mean it None Im bl,None,None,neutral,None,82
RT QasimRashid Citizens who lost health coverage in past 2 weeks due to economic collapseUSA 3500000Australia 0Belgium 0Canada 0,None,lost,negative,None,83
RT AndrewScheer Wishing Christians across Canada and around the world a blessed and joyous Palm Sunday While we are unable to gather tog,joyous,unable,neutral,['canada'],84
RT JaliCat Harvard Chair of Chemistry Charles Liber ARRESTED for colluding w ChinaChinese economic espionage amp research theft in,None,None,neutral,None,85
RT Theylovekira Crazy how coaches can up and leave with no question but players have to write a book full of trauma they encountered at,None,trauma,negative,None,86
RT MerlinofCanada I just heard that RealKiefer has just announced that his mother Shirley Douglas has passed away A great lost to Canada,great,lost,neutral,['canada'],87
RT AVenezuelan19 I want to move to Canada,None,None,neutral,['canada'],88
RT CBCAlerts Shirley Douglas began her acting career in 1950 and went on to countless roles on stage and screen including her 1978 port,None,None,neutral,None,89
RT BruceAHeyman Relationship with Canada is far more integrated and important than realDonaldTrump realizes Thank you Canada,thank,None,positive,['canada'],90
RT StephenJGrey LesStonehouse Morrisons true inability shows in his communicationHe flounders around in self congratulation for 1,congratulation,inability,neutral,None,91
RT PaolaDec1231 Who thinks that raising the price of gasoline for the truckers who keep the supermarkets stocked kerosene for farmers,None,None,neutral,None,92
RT CanadaDev This is a global crisis which requires global solutions Were answering the call to fight COVID19 with investments in va,None,crisis,negative,None,93
hammyalexander GGJuliePayette CPHOCanada Dont expect her to name the USA with all that putting of refugees and asylum seekers in cages separating the kids from parents losing children in the system etc,None,losing,negative,None,94
rickmercer So sorry to read about Shirley Douglas Such a remarkable lady to Canada,remarkable,sorry,neutral,['canada'],95
FraserNelson Criticism from a monarchist where were the Commonwealth realms in a speach allegedly to unite all of usWith every speech people in Canada Oz and NZ hear less and less relevant to them There was a chance to speak to all here as we all feel more alone than ever sadly missed,None,missed,negative,['canada'],96
RT xxukcxx cdnWilliam Much love to Canada but we cant forget the ongoing mistreatment of Indigenous people that occurs here,love,None,positive,['canada'],97
RT toluogunlesi Anybody in Nigeria whod planned to travel abroad USA Canada in April to have a baby will now have to make do with giv,None,None,neutral,['canada'],98
RT cshelleh HOLY FCKWhy cant the opposition stop thisCanada cannot sustain itself with this fcking ahole running the country,holy,opposition,neutral,None,99
RT ashoswai Countries amp COVID testsAustralia 294895Austria 108416Canada 323297Guangdong 320000France 224460Germany 918460,None,None,neutral,None,100
TomLondon6 1GKh Canada is apparently,None,None,neutral,['canada'],101
realDonaldTrump Canada will never forget what you did NEVER,None,None,neutral,['canada'],102
NitishKumar SushilModi PrakashJavdekar kindly release the salary of 42 of constitute college under ks darbhanga sanskrit universitywhose salary was stopped since two yrsafter serving 30yrs and at the time of retirementyadavtejashwi INCIndia,kindly,None,positive,None,103
RT MissSnuffy What on earth This is awful Young black conservative woman expresses an opinion and they try to get her kicked out of,None,conservative,negative,None,104
RT CBCAlerts Alberta has announced 69 new cases of COVID19 bringing the total in the province to 1250 The province is reporting a tot,None,None,neutral,None,105
RT CaraQuici Urge Canada to End Its Shameful Seal Slaughter via PETA,None,slaughter,negative,['canada'],106
RT MartinUCSF Which neurons are most vulnerable to Alzheimers disease Check out our snRNASeq study led by KunLeng2 amp EmmyLiTweets,led,vulnerable,neutral,None,107
RT RegineCabato Absolutely disgusting that this student an editorinchief of a university paper was forced to publicly apologize after,None,disgusting,negative,['university'],108
RT SergeiMillian Published in the journal Antiviral Research the study from Monash University showed that a single dose of Ivermectin co,None,None,neutral,['university'],109
Canadians are so focused on Trump and no one is watching the cowardofthecottage destroy Canada as we know it,trump,destroy,neutral,['canada'],110
RT coachpeterman Dayton Flyers Continuity Ball Screen Offense Playbook This justreleased playbook contains EVERYTHING you need to kno,continuity,None,positive,None,111
RT BrettCBC BREAKING Halifax Regional Police confirm they issued dozens of COVID19 tickets on Saturday People at closed parksbeach,None,breaking,negative,['halifax'],112
RT TPostMillennial BREAKING Trudeau government gives 159 MILLION to developing countries for feminism coronavirusCanadas investmen,None,breaking,negative,None,113
RT QuickDickMcDick CANADA needs this attitude Imagine a country that looked ENTIRELY after itself then exported foodsgoodsresources,None,None,neutral,['canada'],114
RT christoaivalis Daily reminder that Canada is leaving 900000 people out from essential aid because the Trudeau CERB was designed to ex,None,None,neutral,['canada'],115
RT SageRosenfels18 Be careful accepting medical advice from someone who bankrupted a casino a steak company an airline a fake universi,None,fake,negative,None,116
RT MrMubinShaikh Canadian Forces convoys to move through Toronto enroute for COVID support If youre driving amp you see em HONK to show,support,None,positive,None,117
Shirley Douglas Actress and Mother of Kiefer Sutherland Dies at 86 via thrShe should also be remembered as the daughter of Tommy Douglas the man who pushed through Medicare for Canada,None,dies,negative,['canada'],118
RT ezralevant Between China and the which side is Justin Trudeau on,None,None,neutral,None,119
Wishing a speedy recovery to the security guard and speedy justice meeted out to the COVIDIOT Walmart security guard in Sherbrooke run over by man frustrated by COVID19 measures,recovery,frustrated,positive,None,120
RT jaketapper According to Johns Hopkins Universitys tally of cases in the United States there are at least 321 762 cases of coronavir,None,None,neutral,None,121
minibubbly lindajeannixon MCommunicado Zero of which produce medical gown or masks,None,None,neutral,None,122
RT DerekPa56710094 Urge Canada to End Its Shameful Seal Slaughter via PETA,None,slaughter,negative,['canada'],123
NickyPizazz koodo Speaking of price gouging Rogers is covering LD Roam like Home When the majority of subscribers already have Canada wide calling and no one is fucking roaming thats pretty rich,like,fucking,positive,['canada'],124
RT transcasterrad Zoe Knox is a mother of four and hightech professional in telecommunications Her wife Amanda Jett Knox is a human,None,None,neutral,None,125
RT CarolynBennett Applications for the Canada Emergency Response Benefit open tomorrow Were staggering the days you can apply based on,benefit,emergency,neutral,['canada'],126
JradRabel The last part doesnt fit Man I feel like utter shit I feel ashamed ashamed that I even have to ask for this publicly ashamed for everything Fed up destroyed I not only talk about my University but also real life I had a veryHeavy talk and I honestly dont know,like,shit,negative,['university'],127
Students are being told to get on with what university thinks is best for them It is not a monarchy nor is it a dictatorship We have enough mental strain being unsure of our future as it is This is a burden we shouldnt have to bear right nowNoMoreOnlineLollypopwaqarZaqa,enough,burden,neutral,['university'],128
BaniaLeafs Well see how he feels about Canada potentially not allowing over 1000 Cdn nurses speaking of nurses to cross the border at WindsorDetroit It may just happen if this becomes any worse And America doesnt own 3M which was my original point 3M doesnt belong to them at all,well,worse,neutral,['canada'],129
RT RufusKings1776 TrumpIsALoserTrump AirlineTrump Bike RacesTrump CasinoTrump Cologne Trump Ent ResortTrump GameTrump HighSpeed,trump,None,positive,None,130
RT Kpags1 Harvard Chair of the Chemistry Department arrested for colluding with the Chinese Harvard needs to clean up their act immediat,clean,None,positive,None,131
RT MbuyiseniNdlozi Nothing qualifies the university drop out Bill Gates to lead debates on vaccines amp medical responses to covid19 exce,lead,None,positive,['university'],132
RT lisarachel1234 Canada is everything the we in the United States pretend to be Sensible people doing sensible things together Thank G,sensible,pretend,positive,['canada'],133
RT thatdarn Dear CanadaPlease save innocent Americans from TrumpGenocideOur SenateGOP refused to remove him and now we are suffer,None,refused,negative,None,134
RT reuterspictures iPads attached to robots stand in for graduating students at a ceremony in Tokyo Japan More photos of schools in the,None,None,neutral,None,135
JudsonCarmicha1 This is Canadas worst case scenario imoRecord consumer debtExpensive housingExpensive dirty barrelsmeet jobs losses income hits excess cheaper cleaner barrels,cheaper,dirty,negative,None,136
RT DrJacobsRad Canada has 15407 cases and 277 deathsIsrael has 8018 cases and only 47 deaths Taiwan has 345 cases and 5 deathsTh,None,None,neutral,['canada'],137
RT honouringgord Cause it was in Bobcaygeon The Tragically Hip Paul Langlois just performed a live acoustic version of Bobcaygeon,None,tragically,negative,None,138
RT secretlifeofCAD RIP Shirley Douglas Actress mother to Kiefer Sutherland amp daughter of Tommy Douglas Premier of Saskatchewan amp and t,premier,rip,neutral,None,139
Yall who have the audacity to say the N word around me and youre not black do not be shocked if you dont hear from me again lmao,None,shocked,negative,None,140
RT albertaseparate While Trudeau selfisolatesCanada selfdestructsalbertaseparationRex Murphy A COVID19 wakeup call Canada mus,None,None,neutral,['canada'],141
RT williamjones75 69 countries including USA have stopped exporting PPE Trudeau gave Canadas Masks PPE to China 16 tons of it Reporters,None,None,neutral,None,142
RT CanRevAgency To make sure we can help you quickly as of April 6th were asking you to apply for the CERB on different weekdays depen,None,None,neutral,None,143
METHENY WINS EVANS AWARD Universitys Kaden Metheny was awarded the Evans Award on Sunday naming him the top boys basketball player in the state UAthletics kmeth3,wins,None,positive,None,144
Bars cannabis sector eligible for 40billion credit program from government bank,None,None,neutral,None,145
RT Esri Were excited to announce that now through August 31 2020 university amp college students ages 18 amp over can have free access to,free,None,positive,['university'],146
RT Invest420 I am all for being focused but the pandemic exposes some companies that are too narrowly focused geographicallyThe Downsi,None,None,neutral,None,147
bosiboriKe Never lie cant get in university of management anymore they all gold digger,gold,lie,neutral,['university'],148
RT DeanLudtke Here in Canada We have a PM in bed with Chinese Why has Trudope1allowed unchecked flights into Canadastill coming2al,None,None,neutral,['canada'],149
RT TheBlueGem3 Can you imagine doctors being treated this way during a pandemic Welcome to Alberta Canada cnni BBCWorld CBCNews http,welcome,None,positive,['canada'],150
i just remembered that when i was in canada for 2 weeks this summer did a fansign and i even got a lil paper for the fansign but i didnt stan at the time i could have seen im gonna crie lt3,None,None,neutral,['canada'],151
RT babawitch can i please have zazie beetz and alicia vikander starring in a lesbian romcom where they both are university students comp,None,None,neutral,['university'],152
RT Lynnburry My grandson Donald woke up this morning remembering the words of Dr Tam Hes only six but the message has gotten through a,None,None,neutral,None,153
RT listerlester eliehonig KenDilanianNBC THEY SAW him pay fines for his FRAUD universityTHEY HEARD him curse Mexicans amp MuslimsTHEY,None,curse,negative,None,154
RT anthonyfurey Take a good look at this garbage because theres surely much more on the way Experts slyly argue that COVID19 is a g,good,garbage,neutral,None,155
TfalCanada can you explain to me why you include an instruction manual for an airfryer THAT IS NOT THE SAME AIRFRYER AS THE ONE I BOUGHT Your manual is telling me my timing will appear on a screen but my model doesnt have a screenwould like the one for my machine please,like,None,positive,None,156
RT merry123459 Most Canadians appreciate the PM addressing Canada every single morning for the past 3 weeks amp keeping us informed Answer,appreciate,None,positive,['canada'],157
RT DelphiLeaders The Monash Biomedicine Discovery Institutes Dr Kylie Wagstaff led a study that found the drug Ivermectin stopped the,led,None,positive,None,158
NormOrnstein TrueFactsStated Havent most of these been disproven Like feds stealing from Germany and Canada,like,stealing,neutral,['canada'],159
RT IBl33dPurple Due to Covid19 April Fools has been cancelled in Canada until 2021Sorry,None,None,neutral,['canada'],160
RT greatestasshat Erin ohTool why in your message as MP for Durham are you specifically asking god to bless christians and the,bless,None,positive,None,161
AtheistRepublic A recruitment drive from Oxford University to us mere plebs in a smartbutbroke N Irish grammar school,None,None,neutral,['university'],162
Pied Piper Childrens CentreSinoia Primary SchoolLomagundi College Primary SchoolLomagundi CollegeMonash University,None,None,neutral,['university'],163
RT TheInsaneApp Strange and massive objects plow near the moon captured on amateur film from Quebec CanadaCc AstronautAbby elonm,None,strange,negative,None,164
davebc72 Sportsnet WWE It was never in Canada,None,None,neutral,['canada'],165
fakeGAINER The 48 Stamps Went undefeated and had to take a train across Canada to play in the Grey Cup against Ottawa in TO Was so much easier for Ottawa who had hardly no travelling time,easier,None,positive,['canada'],166
RT JonStewartMill3 1 Population per 1 billionaireSwitzerland 234Singapore 267Sweden 322US 559Germany 726Canada 950M,None,None,neutral,None,167
RT downtownrob88 Total bullshit US owes 24 trillion while Canada is under 1 trillion in debt These are UShedge fund lies https,None,debt,negative,['canada'],168
Anybody like to travel here One of the most beautiful places Ive been to is Banff National Park in Canada Comment down below with your favorite place,beautiful,None,positive,['canada'],169
RT michaelharriot The day I spoke to this doctor a private company had just announced drivethrough testing one of the first in the cou,None,None,neutral,None,170
RT MadMikeOfficial If you had to choose one country to sacrifice to corona for the good of the world who would it be and why would it be,good,None,positive,None,171
RT OmiSooreDryden Just watched a Black man get arrested by cops Halifax Watched as white folks called cops on this Black guy White co,None,None,neutral,['halifax'],172
TedJoy71 Apr 2 EWE Above normal 2020 Atlantic hurricane season on tap researchers forecast,None,None,neutral,None,173
RT AnaCabrera BREAKING At least 9132 have died from coronavirus in the United States according to Johns Hopkins University Thats m,None,breaking,negative,['university'],174
RT ladypatriot26 And once again here is what people are missing from this video The word Resolute is being used by these people again,resolute,None,positive,None,175
RT PawsRat OttawaPolitico PattyHajdu 22 In 2015 she received a Master of Public Administration from the University of Victoria I do,master,None,positive,['university'],176
BBC News New York new coronavirus cases dropping for first time,None,None,neutral,None,177
RT NatePickowicz Healthcare workers praying on top of the helipad of Vanderbilt University Health CenterIm here for this all day long,top,None,positive,['university'],178
gourlaymaurice DaveTheDirty73 PrisonPlanet So climate guy where are you Marching through the heather of Scotland looking for communists How many communist party members are elected to office in Scotland Theres not one of them sitting in the Queens Parliament of Canada Her top Ministers commit treason with them is all,top,treason,neutral,['canada'],179
RT CBCAlerts Global Affairs Canada says Canadians are returning home today from Argentina Cuba El Salvador Lebanon and Serbia Repatri,None,None,neutral,['canada'],180
Ditto all ex pats amp Commonwealth nations Canada,None,None,neutral,['canada'],181
RT jannarden Canada Were gonna be Eh O K So important to STAY HOME We can break this pattern stopTheSpread and we arent talking,important,break,neutral,['canada'],182
speculawyer CameronNBeach You think they cant go to Canada Even Mexico will likely to give offersAustralia and EU are the new candidates Countries are kidnapping masks ar airports you think they would not shuffle laws to give a chance for USAs brightest,brightest,None,positive,['canada'],183
RT JustinTrudeau Applications for the Canada Emergency Response Benefit open on Monday but to make sure the system can handle all of the,benefit,emergency,neutral,['canada'],184
Milan University Study puts mortality rates in Italy lower than predictions,None,None,neutral,['university'],185
RT DuaneDawson6 But it will put money in Canadians pockets thats what JT saidWTFwhen is a tax putting money in your pocketsH,None,None,neutral,None,186
RT SJUBarstool Pullin up to Da Crib University after Corona sends you home,None,None,neutral,['university'],187
DeleMomodu Names Odion Kassim MamudSchool University of BeninUNIBENACCOUNT Bank guarantee trust bankGTB Acct number 0248380549 Acct name Odion Kassim Mamud,guarantee,None,positive,['university'],188
rkblurbs I enjoy teachingmost of the timeI didnt say ALL the time but my university distance courses keep my mind sharp amp engaged just like nutty professor Doc Browns in Back to the Future Thats the real deal,sharp,None,positive,['university'],189
LolDepartmental League of President group chat is hottie hottie rn over ONLINE CLASS that Private University wants to take up Nigeria Education System only God can help us,None,None,neutral,['university'],190
ruudyroon This is around the university area So yeah it is Dallas county,None,None,neutral,['university'],191
RT SheilaGunnReid Lotta Canadians are shocked that Trump is looking after the American people who elected him before looking after the re,trump,shocked,neutral,None,192
AlantaRose I can certainly understand why this would be concerning You can find out how well deal with your complaint here I appreciate youve already called however wed need to ask you to contact us on 44 113 242 1984 for any updates on your account Andy,well,complaint,positive,None,193
RT canadianpoli Dear AmericaCanada diverted amp landed 230 planes on 911 keeping 30000 US passengers safe In 1980 we rescued 6 US di,safe,None,positive,None,194
RT NnamdiChife Tolu Ogunlesi is mocking Nigerians who had planned to give birth in the US or Canada this summer because of worldwide shut,None,mocking,negative,['canada'],195
Oakwood University All these years skipping church and we had this capacity Where theres a will theres a way Drop a scripture Look at God Wait till this gets appropriated Yall gonna love it sarcasm,love,sarcasm,neutral,['university'],196
RT ValaAfshar At a hospital in Canada doctors and nurses came to work to find handmade signs of gratitude all over the walkwayhttps,gratitude,None,positive,['canada'],197
LangDean1 Yes especially the ones at publicly funded institutions when so many of Canadas private SMEs retool to maintain income,None,None,neutral,None,198
RT keithboykin The Oakwood University Church Online Choir under the direction of Stephen Manders oakwoodsda,None,None,neutral,['university'],199
RT Reuters Canada coronavirus deaths jump 20 Ottawa offers reservists fulltime jobs,None,None,neutral,['canada'],200
And were back In this installment we descant upon a certain Lord of Cross Harbours turgid diatribe regarding Canada and the USs respective superintendancy of the COVID imbroglio cdnmedia,None,diatribe,negative,['canada'],201
RT PublicCitizen Could lose health care access due to getting fired Australia 0Belgium 0Canada 0Chile 0Denmark 0Finland 0,None,lose,negative,None,202
RT pvanini National COVID19 Volunteer Recruitment Campaign check it out at,None,None,neutral,None,203
Once again no one says it better than Rex Murphy,better,None,positive,None,204
A Japanese University used remotecontrolled robots to hold a virtual graduation SmartNews,None,None,neutral,['university'],205
RT Miridunn Today the Premier of Nova Scotia Canada said in a news conference STAY THE BLAZES HOME It was clear he was cussing In,clear,None,positive,['canada'],206
RT theresaboyle Inspirational Chief medical officers are leading Canada through COVID19 pandemic CBC News,leading,None,positive,['canada'],207
JKCinnamons Cernovich realDonaldTrump Theres already been a report out of South China University of Technology that has confirmed horseshoe bats dont reside in wuhan nor were they on the wet markets at the time,None,None,neutral,['university'],208
RT ChessWizardry COVID19 update Last updated April 05 2020 1419 GMT Canada Cases 14018 Fatalities 233,None,None,neutral,['canada'],209
ArkhamSiren95 Im moving to Canada ASAP I firmly believe that if I had a place like in my life to go to I wouldnt have suffered so hard with my depression and loneliness It looks so fun,like,suffered,negative,['canada'],210
RT JordanPlair Very blessed and honored to say that I have committed to play baseball at North American University heres to a good ride,honored,None,positive,['university'],211
RT MeghanAndy Tell me again how the system is workingableg abpoli,None,None,neutral,None,212
RT redsox36 From the University of Calgary Peter Gabor Carol Ing and Byron Miller,None,None,neutral,['university'],213
RT MrAndyNgo A singer who identifies as nonbinary was diagnosed wcervical cancer The singer says theyre extremely stressed that the,None,cancer,negative,None,214
JustinTrudeau please help university grads with no job prospects no EI and no CERB,None,None,neutral,['university'],215
RT anathymadevice State Rep Bob Glanzer died at about 8 Friday at Avera McKennan Hospital amp University Health Center his son Tom s,None,died,negative,['university'],216
I am SO over this winter and cold weather I love Canada but I am not built for the long winters,love,cold,neutral,['canada'],217
